"","ID","OWC","eHRAF.Name","EA.ID","PSF.Cluster","group","DQ","all_est_count_30","all_sev_est_count_30","countdr_30","countsevdr_30","countfl_30","countsevfl_30","countLAPD_30","countsevLAPD_30","freqdr_30","freqsevdr_30","freqfl_30","freqsevfl_30","freqLAPD_30","freqsevLAPD_30","all_freq_30","all_freq_sev_30","all_onset_avg_30","all_onset_mode_30","all_pred_avg_30","all_pred_mode_30","all_severe_avg_30","all_severe_mode_30","all_div_30","all_div_sev_30","duration_30","freqdr_30_IA","freqsevdr_30_IA","freqfl_30_IA","freqsevfl_30_IA","freqLAPD_30_IA","freqsevLAPD_30_IA","all_freq_30_IA","all_freq_sev_30_IA","fd_est_count_30","fd_freq_30","fd_onset_avg_30","fd_onset_mode_30","fd_pred_avg_30","fd_pred_mode_30","fd_severe_avg_30","fd_severe_mode_30","fd_div_30","fd_freq_30_IA","sevnonfd_est_count_30","sevnonfd_freq_30","sevnonfd_onset_avg_30","sevnonfd_onset_mode_30","sevnonfd_pred_avg_30","sevnonfd_pred_mode_30","sevnonfd_severe_avg_30","sevnonfd_severe_mode_30","sevnonfd_div_30","sevnonfd_freq_30_IA","nonsev_est_count_30","nonsev_freq_30","nonsev_onset_avg_30","nonsev_onset_mode_30","nonsev_pred_avg_30","nonsev_pred_mode_30","nonsev_severe_avg_30","nonsev_severe_mode_30","nonsev_div_30","nonsev_freq_30_IA","threat_count","all_est_count_30_IA","all_sev_est_count_30_IA","countdr_30_IA","countsevdr_30_IA","countfl_30_IA","countsevfl_30_IA","countLAPD_30_IA","countsevLAPD_30_IA","fd_est_count_30_IA","sevnonfd_est_count_30_IA","nonsev_est_count_30_IA","threat_count_IA","NAME","ea033","hier_beyond_com","intensity_agricult","class_strat","community_size","IBSS.Sample","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5Resolved","S6Resolved","S8Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS2e_nonkin_Res","LS3d_outside_Res","LS3e_nonkin_Res","LS4d_outside_Res","LS4e_nonkin_Res","LS5d_outside_Res","LS5e_nonkin_Res","S1_Resolved","S5_Resolved","S6_Resolved","LS2b_communal_Res","LS3b_communal_Res","LS4b_communal_Res","LS5b_communal_Res","LS6b_communal_Res","LS2c_leader_Res","LS3c_leader_Res","LS4c_leader_Res","LS5c_leader_Res","LS6c_leader_Res","LS7c_leader_Res","LS6d_outside_Res","LS7d_outside_Res","LS6e_nonkin_Res","LS7e_nonkin_Res"
"31",51,"ER06","Rural Irish","Cg03",NA,"JGE",3,22,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,3,7,3,1.952,2,2.909,3,2.068,2,3,1,114,NA,NA,NA,NA,3,3,7,3,1,3,NA,NA,1,1,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,7,1.952,2,3,3,2.024,2,2,7,NA,22,1,NA,NA,NA,NA,1,1,1,NA,21,NA,"Irish",3,3,5,5,8,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,1,NA,NA,1,0,1,NA,1,1,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",52,"EP04","Saami","Cg04","20","JGE",3,31,2,NA,NA,1,1,2,NA,NA,NA,3,3,4,NA,7,4,1.968,2,2.484,3,2.468,2.5,7,2,0,NA,NA,3,3,4,NA,7,4,1,3,1,1,2,2,3.5,3.5,1,3,1,3,2,2,2,2,3,3,1,3,29,7,2,2,2.517,3,2.414,2.5,6,7,NA,31,2,NA,NA,1,1,2,NA,1,1,29,NA,"Lapps",1,1,1,2,1,1,1,1,0,1,0,1,2,1,1,1,0,2,1,1,NA,0,1,NA,1,1,NA,NA,NA,1,1,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",53,"RU41","Nenets","Ec04",NA,"JGE",1,45,5,NA,NA,NA,NA,25,5,NA,NA,NA,NA,7,5,7,5,2,2,2.422,2,2.356,2.5,3,2,10,1,1,1,1,7,5,7,5,1,3,NA,NA,1,1,4,4,1,3,4,5,2,2,2,2,3,3,1,5,40,7,2,2,2.5,3,2.25,2.5,2,7,NA,45,5,0,0,0,0,25,5,1,4,40,0,"Yurak Samoyed",1,1,1,2,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",54,"RF10","Russians","Ch11",NA,"JGE",2,24,1,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,3,2,2,2.708,3,2.083,2,3,1,0,1,1,7,1,1,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,1,3,3,1,3,23,7,2,2,2.783,3,2.043,2,3,7,NA,24,1,0,0,20,0,0,0,0,1,23,0,"Russians",5,5,6,5,8,1,1,1,0,1,0,1,2,1,0,NA,0,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",55,"RI03","Abkhazians","Ci12",NA,"JGE",4,1,1,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,3,3,1,1,1,1,3,3,1,1,NA,3,3,NA,NA,NA,NA,3,3,1,3,1,1,1,1,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,"Abkhaz",2,2,5,5,4,1,1,0,1,1,0,1,2,1,NA,NA,1,NA,1,1,1,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",58,"MA10","Basseri","Ea06",NA,"JGE",2,24,3,1,NA,20,NA,2,2,3,NA,7,NA,4,4,7,4,1.955,2,2.667,3,1.292,1,5,3,NA,3,1,7,1,4,4,7,4,3,4,2,2,1,1,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,7,1.952,2,2.905,3,1.048,1,2,7,NA,24,3,1,0,20,0,2,2,3,0,21,0,"Basseri",2,2,2,2,5,1,1,1,1,0,0,2,2,1,0,0,1,0,1,NA,0,NA,NA,1,1,NA,NA,NA,1,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",59,"AT03","West Punjabi","Ea13",NA,NA,1,6,6,NA,NA,6,6,NA,NA,NA,NA,5,5,NA,NA,5,5,1,1,2,2,3.167,3,1,1,0,1,1,5,5,1,1,5,5,5,5,1,1,2,2,3,3,1,5,1,3,1,1,2,2,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,6,0,0,6,6,0,0,5,1,0,0,"Punjabi (West)",5,5,5,4,4,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,NA,NA,0,0,0,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",60,"AW32","Gond","Eg13",NA,"JGE",3,21,1,1,1,NA,NA,20,NA,3,3,NA,NA,7,NA,7,3,1.952,2,2.905,3,2.095,2,2,1,2,3,3,NA,NA,7,NA,7,3,1,3,1,1,1,1,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,2,2,3,3,2,2,1,7,NA,21,1,1,1,NA,NA,20,NA,1,NA,20,NA,"Gond",NA,NA,3,1,NA,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,NA,NA,0,NA,1,1,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",62,"AW42","Santal","Ef01","28","MINERVA",2,4,4,4,4,NA,NA,NA,NA,5,5,NA,NA,NA,NA,5,5,1,1,1,1,4,4,1,1,NA,5,5,1,1,1,1,5,5,4,5,1,1,1,1,4,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,4,4,4,0,0,0,0,4,0,0,0,"Santal",2,2,6,1,3,1,1,NA,NA,NA,1,NA,NA,1,0,0,1,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",63,"AW19","Uttar Pradesh","Ef11",NA,"MINERVA",3,4,4,4,4,NA,NA,NA,NA,5,5,NA,NA,NA,NA,5,5,1,1,1,1,4,4,1,1,NA,5,5,NA,NA,NA,NA,5,5,4,5,1,1,1,1,4,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,NA,NA,NA,"Uttar Pradesh",5,5,6,4,8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",64,"AV07","Burusho","Ee02",NA,"JGE",2,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1.091,1,2.818,3,2.952,3,3,1,0,1,1,1,1,1,1,7,7,20,7,1,1,3,3,3,3,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,1,2,2,1,3,NA,22,20,0,0,0,0,0,0,20,0,1,0,"Burusho",2,2,6,5,4,1,1,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",65,"RQ02","Kazakh","Eb01",NA,"JGE",3,3,3,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,4,4,1.333,1,1.667,2,3.333,3,3,3,0,3,3,NA,NA,NA,NA,4,4,3,4,1.333,1,1.667,2,3.333,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,NA,NA,NA,NA,3,NA,NA,NA,"Kazak",4,4,2,4,2,1,1,0,1,1,1,1,2,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",66,"AH01","Mongolia","Eb03",NA,"JGE",3,25,1,NA,NA,NA,NA,21,1,NA,NA,NA,NA,7,3,7,3,2,2,2.76,3,1.88,2,2,1,0,NA,NA,NA,NA,7,3,7,3,1,3,NA,NA,1,1,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,7,2,2,2.833,3,1.833,2,2,7,NA,25,1,NA,NA,NA,NA,21,1,1,NA,24,NA,"Khalka Mongols",4,4,2,4,1,1,1,1,1,1,0,2,3,1,0,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,0,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",69,"AR05","Garo","Ei01","27","MINERVA",3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,2,1,1,2,2,1,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Garo",2,2,3,2,4,NA,1,0,1,1,1,1,2,NA,0,1,1,1,NA,NA,NA,NA,0,1,1,NA,NA,1,1,0,NA,NA,NA,0,1,0,1,0,1,1,1,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,1
"45",70,"AR20","Mara","Ei04",NA,"JGE",2,21,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,3,7,3,2,2,2.952,3,1.143,1,2,1,NA,1,1,1,1,3,3,7,3,1,3,2,2,2,2,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,1,1,1,7,NA,21,1,0,0,0,0,1,1,1,0,20,0,"Lakher",2,2,3,4,NA,1,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",72,"AM28","Rmeet","Ej01",NA,NA,2,20,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,1,1,3,3,2,2,1,NA,NA,7,1,1,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,1,1,3,3,2,2,1,7,NA,20,0,20,0,0,0,0,0,0,0,20,0,"Lamet",1,1,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,NA,NA,NA,0,NA,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",73,"AM11","Vietnamese","Ej04",NA,"JGE",1,44,28,8,4,5,3,4,4,5,5,5,4,5,5,7,7,1.6,2,2,2,3.095,4,7,6,35,5,5,5,4,5,5,7,7,27,7,1.565,2,1.913,2,3.574,4,5,7,1,3,1,1,1,1,4,4,1,3,14,6,1.643,2,2.357,2,2.107,2,3,6,NA,44,28,8,4,5,3,4,4,27,1,14,0,"Vietnamese",5,5,6,5,8,1,1,0,1,0,0,1,1,1,0,NA,1,NA,1,1,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",76,"AO07","Central Thai","Ej09","30","JGE",1,20,6,15,1,1,1,4,4,6,3,3,3,5,5,7,5,1,1,1.8,2,2.575,2.5,3,3,0,6,3,3,3,5,5,7,5,2,4,1,1,2,2,3.25,3.5,2,4,4,5,NA,NA,1,1,3,3,1,5,14,6,1,1,2,2,2.357,2.5,1,6,NA,20,6,15,1,1,1,4,4,2,4,14,0,"Siamese",5,5,6,2,6,1,1,0,1,1,1,1,2,1,0,1,1,1,1,NA,NA,NA,0,0,0,NA,NA,1,1,1,NA,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",79,"AZ02","Andamans","Eh01","31","MINERVA",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,2,2,4,4,1,1,0,1,1,1,1,1,1,4,4,2,4,NA,NA,2,2,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,0,0,0,0,0,0,2,0,0,0,"Andamanese",1,1,1,1,1,NA,1,1,0,1,1,1,2,NA,1,1,1,2,NA,NA,NA,0,0,1,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,1,0,0,NA,1,0.5,1,1,NA,0,1,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA
"50",83,"OE05","Javanese","Ib02",NA,"JGE",2,5,3,NA,NA,2,2,NA,NA,NA,NA,4,4,NA,NA,5,4,2,2,1.667,2,3.333,3,3,2,0,1,1,4,4,1,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,3,0,0,2,2,0,0,0,0,0,0,"Javanese",5,5,6,5,7,1,1,0,1,1,1,1,2,1,0,0,1,0,1,NA,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,0,0,0,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",85,"OC06","Iban","Ib01","33","JGE",1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1.5,1,1.5,1,2.75,2,2,1,0,1,1,1,1,1,1,5,4,1,3,1,1,1,1,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,2,2,2,2,2,1,4,NA,4,2,0,0,0,0,0,0,1,0,2,0,"Iban",1,1,3,1,2,1,1,0,0,1,1,0,1,1,0,1,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",86,"OA08","Sama-Bajau","Ia13",NA,NA,3,4,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,1,1,1,1,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Badjau",1,1,4,2,4,1,1,0,1,0,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,0,0,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",87,"OG11","Eastern Toraja","Ic05","34","MINERVA",1,26,6,4,4,NA,NA,NA,NA,5,5,NA,NA,NA,NA,7,5,1.846,2,2.538,3,2.269,2,3,2,1,5,5,1,1,1,1,7,5,4,5,1,1,1,1,3.25,3,1,5,2,4,2,2,1,1,3,3,1,4,20,7,2,2,3,3,2,2,1,7,2,26,6,4,4,0,0,0,0,4,2,20,2,"Toradja",2,2,3,2,3,NA,1,1,1,1,1,2,3,NA,0,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,0,NA,0,NA,0,1,0,NA,1,1,1,0,0,0,0,0,0,0,1,0,0,NA,0,NA,NA,NA
"54",90,"OI20","Tiwi","Id03",NA,"JGE",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiwi",1,1,1,1,3,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,NA,NA,1,NA,1,1,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",91,"OI08","Aranda","Id01","35","JGE",2,3,2,2,2,1,NA,NA,NA,4,4,3,NA,NA,NA,4,4,1.333,1,1,1,2.333,3,2,1,NA,4,4,3,1,1,1,4,4,2,4,1,1,1,1,3,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,1,1,1,1,3,NA,3,2,2,2,1,0,0,0,2,0,1,0,"Aranda",1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",92,"OJ23","Orokaiva","Ie09",NA,"JGE",2,44,NA,20,NA,20,NA,NA,NA,7,NA,7,NA,NA,NA,7,NA,1.455,1,2.455,2,2.136,2.5,3,NA,NA,7,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44,7,1.455,1,2.455,2,2.136,2.5,3,7,NA,44,0,20,0,20,0,0,0,0,0,44,0,"Orokaiva",1,1,4,1,2,1,1,0,1,1,1,1,2,1,1,0,0,1,1,1,NA,0,NA,NA,1,1,NA,NA,NA,NA,1,0,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",93,"OJ82","Kimam","Ie18",NA,"JGE",1,47,7,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,7,5,2,2,2.787,3,1.872,2,4,2,0,1,1,1,1,7,1,7,5,7,5,2,2,1.571,2,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,7,2,2,3,3,1.5,2,2,7,2,47,7,0,0,0,0,20,0,7,0,40,2,"Kimam",1,1,5,1,4,1,1,1,0,1,0,1,2,1,0,1,0,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",94,"OJ29","Kapauku","Ie01","36","JGE",1,20,NA,NA,NA,20,NA,NA,NA,NA,NA,7,NA,NA,NA,7,NA,2,2,3,3,2,2,1,NA,NA,1,1,7,1,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,7,2,2,3,3,2,2,1,7,2,20,0,0,0,20,0,0,0,0,0,20,2,"Kapauku",2,2,3,2,2,1,1,0,1,0,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",96,"OM06","Manus","Ig09",NA,"JGE",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2,1.667,2,1.667,2,1,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,1.667,2,1.667,2,1,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Manus",1,1,2,2,3,1,1,0,1,0,1,1,1,1,0,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",98,"OL06","Trobriands","Ig02","38","JGE",2,23,3,2,2,NA,NA,NA,NA,4,4,NA,NA,NA,NA,7,4,1.913,2,2.783,3,2.13,2,2,2,0,4,4,1,1,1,1,7,4,2,4,1,1,1,1,3,3,1,4,1,3,2,2,2,2,3,3,1,3,20,7,2,2,3,3,2,2,1,7,NA,23,3,2,2,0,0,0,0,2,1,20,0,"Trobrianders",2,2,4,4,3,1,1,0,1,1,0,1,2,1,0,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",99,"ON19","Siwai","Ig01",NA,"JGE",2,52,NA,NA,NA,4,NA,4,NA,2,2,5,NA,5,NA,7,2,2,2,2.846,3,1.923,2,5,NA,NA,2,2,5,1,5,1,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52,7,2,2,2.846,3,1.923,2,5,7,3,52,0,0,0,4,0,4,0,0,0,52,3,"Siuai",1,1,4,2,2,1,1,1,0,1,1,1,2,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,0,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",100,"OT11","Tikopia","Ii02","40","JGE",1,7,7,1,1,NA,NA,1,1,3,3,NA,NA,3,3,5,5,1.857,2,1.429,1,3.857,4,4,4,0,3,3,1,1,3,3,5,5,7,5,1.857,2,1.429,1,3.857,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,7,1,1,0,0,1,1,7,0,0,0,"Tikopia",2,2,4,4,5,1,1,1,1,0,0,2,2,1,1,1,1,2,1,1,NA,0,1,NA,1,NA,NA,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",102,"OQ12","Bau Fijians","Ih14",NA,NA,1,2,2,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,4,4,1.5,2,1,1,3.5,4,2,2,0,3,3,1,1,1,1,4,4,1,3,1,1,NA,NA,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,1,1,0,0,0,0,1,0,0,0,"Mbau Fijians",3,3,4,2,6,1,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",106,"OU08","Samoans","Ii14",NA,"JGE",3,46,2,2,NA,NA,NA,2,NA,4,NA,NA,NA,4,NA,7,4,1.957,2,1.913,2,1.609,2,5,1,NA,4,NA,NA,NA,4,NA,7,4,2,4,2,2,2,2,3,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,7,1.955,2,1.909,2,1.545,2,4,7,NA,46,2,2,NA,NA,NA,2,NA,2,NA,44,NA,"Western Samoans",3,3,4,4,4,1,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
